,stop,boardings,alightings
933,Owens Rd at Norlinda Ave,226,188
104,5805 Queens Chapel Rd,225,250
634,Hamilton St at 38th St,224,251
680,Hillside Rd at Research Rd,224,107
766,Largo Rd at Drumsheugh Ln,223,22
135,8951 Lottsford Rd (opposite),222,82
553,Edgeworth Dr at Ritchie Rd,222,218
1238,Temple Hill Rd at Megan Dr,221,231
1097,Riverdale Rd at Taylor Rd,219,102
1001,Quebec St at 58th Ave,219,170
512,Crescent Rd at Lastner Ln,218,514
1128,Sheriff Rd at Belle Haven Dr,216,570
307,Bladensburg Rd at 43rd Ave,216,222
797,MLK Jr Hwy at Cabin Branch Dr,215,150
217,Annapolis Rd at 53rd St,214,347
494,Columbia Park Rd at Stanford Pl,213,103
986,Peppermill Dr at Pepper St,213,221
34,28th Pkwy at Duggan St,213,96
625,Gwendolyn Britt Center,212,252
886,Old Alexandria Ferry Rd at Malcolm Rd,212,112
1040,Rhode Island Ave at County Service Building - NB,211,215
586,Goddard Space Flight Center Main Gate (PM Southbound),210,178
108,60th Ave at Quebec St,209,112
272,Baltimore Ave at Lakeland Rd,209,452
942,Oxon Hill Rd at 6201 Oxon Hill Plaza,208,424
53,38th St at Bunker Hill Rd,207,752
31,28th Pkwy at 27th Ave,205,290
971,PGCC Perimeter Rd at Child Care Facility,205,165
1057,Ritchie Rd at Dennis Ct,205,173
189,Ager Rd at Nicholson,205,44
864,Nalley Rd at Michele Ct,204,847
435,Central Ave at Norair Ave,204,207
1045,Rhode Island Ave at Volta Ave,203,215
666,Highview Pl at Brooke Rd,203,141
607,Greenbelt Rd at Walker Dr,203,205
794,MLK Jr Hwy at 69th Pl,202,176
1167,Southern Ave at Opposite 1380 Southern Ave,202,203
1208,Suitland Metro - Arrival,201,13366
170,Addison Rd at Adel St,201,40
24,23rd Ave at Woodberry St,201,393
926,Ora Glen Dr at Mandan Rd,201,203
273,Baltimore Ave at Longfellow St,200,89
281,Baltimore Ave at Sheridan St,198,60
803,MLK Jr Hwy at Greig St,198,304
1255,Truman Manor,198,168
623,Greenway Center (PM Northbound),198,255
