,stop,boardings
1180,Silver Hill Rd at Swann Rd,112
520,Crescent Rd at Lastner Ln,111
720,Jericho Residences,111
222,Ardwick-Ardmore Rd at MLK Jr Hwy,111
553,East Capitol St at Old Central Ave,110
900,Old Alexandria Ferry Rd at Malcolm Rd,110
98,57th Ave at Berwyn Rd,109
1046,Queensbury Rd at Baltimore Ave,109
374,Brinkley Rd at Mark Dr,108
347,Brightseat Rd at Glenarden Library,108
797,Lords Landing Rd at Brown Station Rd,107
697,INDIAN HEAD HIGHWAY & AUDREY LANE,107
1293,University Blvd at Guilford Rd,106
365,Brinkley Rd at George Washington Dr,106
224,Ardwick-Ardmore Rd at UPS Building #8325,106
306,Bock Rd at Belfast Drive,106
268,Baltimore Ave at Knox Rd,105
1151,Saint Barnabas Rd at Barrowfield Rd,105
814,MLK Jr Hwy at Cabin Branch Dr,105
124,9240 Springhill Ln,105
789,Largo Rd at Town Farm Rd,105
198,Allentown Rd at Perrie Ln,105
81,42nd Ave at Jefferson St,104
211,Annapolis Rd at 54th Pl,104
803,Lottsford Rd at Harry S. Truman Dr,103
791,Largo Rd at Watkins Park Dr,103
754,Landover Metro Station - Arrival,103
1038,Queens Chapel Rd at Nicholson St,103
976,Oxon Hill Rd at 6201 Oxon Hill Plaza,103
733,Kenilworth Ave at Nicholson St,103
641,Hamilton St at 31st Ave - in,103
969,Owens Rd at Woodland Blvd,102
961,Owens Rd at Irvington St,102
1243,Suitland Rd at Opp. Suitland Federal Center Gate 3,102
97,5600 54th Ave,101
598,Goddard Space Flight Center Main Gate (PM Southbound),101
125,9400 Peppercorn Pl,100
1270,Temple Hill Rd at Lakeview Dr,100
311,Bock Rd at Technology Recreation Complex,100
437,Central Ave at Cabin Branch Rd,100
1133,Rollins Ave at Upcot Ct,99
1262,Temple Hill Rd at Badger Ave,99
693,Hillside Rd at Research Rd,99
1043,Queensbury Rd at 41st Ave,99
668,Harry S Truman Dr at Campus Way S,99
1021,Peppermill Dr at Pepper St,99
580,Fisher Rd at Heather Hill Ent.,99
1031,Pontiac St at Edmonston Rd,98
632,Greenhill Rd at Orange Ct,98
443,Central Ave at Norair Ave,98
244,Auth Rd at Carswell Ave,98
783,Largo Rd at Kettering Dr,98
1297,Upshur St at 30th St,98
