,stop,alightings
721,Jericho Residences (Southbound),162
311,Bock Rd at Technology Recreation Complex,162
701,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,162
625,Greenbelt Station Parkway at Streambank Lane,162
1318,Walker Mill Rd at Rollins Ave,161
204,Allentown Rd at Westchester Dr,161
9,1400 Merchantile Ln,160
499,Columbia Park Rd at Oregon Ave,160
832,Mandan Rd at Greenbelt Rd,160
1192,Southern Ave at Forest Hills Apartment,159
415,Campus Way South at PGCC Perimeter Rd,158
446,Central Ave at Rollins Ave,158
666,Hanover Pkwy at Village Park Dr,157
1298,Valley Trail Ln at Bain Dr 1,156
646,Hamilton St at 38th St,156
1000,PALMER ROAD & INDIAN HEAD HIGHWAY,156
678,Highview Pl at Brooke Rd,154
1297,Upshur St at 30th St,154
1093,Ritchie Rd at Ritchie-Marlboro Rd,153
380,Brinkley Rd at Rose Croft Shopping Center,153
1316,Walker Mill Rd at Brooksquare Dr,153
443,Central Ave at Norair Ave,153
925,Old Marlboro Pike at Melwood Park Ave,152
101,5846 ALLENTOWN WAY,151
831,Mandan Rd at Canning Terr,151
168,Addison Rd at James Farmer Way,151
638,Gwendolyn Britt Center,151
654,Hanover Pkwy at Greenbelt Rd,150
110,800 Ritchie Rd,149
776,Largo Rd at Buck Ln,149
1069,Rhode Island Ave at County Service Building - SB,149
219,Apollo Dr at Mercantile Ln,149
784,Largo Rd at Kirkland Ln,148
1068,Rhode Island Ave at County Service Building - NB,148
510,County Rd at Belwood St,147
1276,Temple Hill Rd at Piscataway Rd,147
620,Greenbelt Rd at Walker Dr,146
265,Baltimore Ave at Hollywood Rd,146
203,Allentown Rd at Westchester Ct,146
182,Ager Rd at Oglethorpe St,146
681,Highview Pl at Onslow Way,143
1302,Village Dr West at Bishopmill Dr,143
752,Lamont Dr at Quentin St,142
483,Clairfield Lane - Arrival,142
406,Campus Way North at St Joseph's Dr,141
171,Addison Rd at St Margaret's School,141
759,Landover Rd at 56th Ave,141
378,Brinkley Rd at Opp. Rosecroft Shopping Center,141
766,Landover Rd at Firehouse Rd,141
57,38th St at Perry St,140
612,Governor Oden Bowie Dr at Elm St,140
343,Brightseat Rd at Continental Pl,139
186,Allentown Rd at 5711 AFCU Allentown Rd,139
1031,Pontiac St at Edmonston Rd,138
969,Owens Rd at Woodland Blvd,138
1072,Rhode Island Ave at Volta Ave,138
1227,St Barnabas Rd at Temple Hill Rd,138
961,Owens Rd at Irvington St,138
95,5401 85th Ave,137
636,Greenway Center (PM Northbound),137
1018,Peppermill Dr at Canyon Dr,136
1269,Temple Hill Rd at Kirbywood St,136
125,9400 Peppercorn Pl,134
627,Greenbrook Dr at Hanover Pkwy,134
1225,St Barnabas Rd at Opp. Gateway Square Apts,133
1064,Rhode Island Ave at 42nd Pl,133
375,Brinkley Rd at Middlefield Rd,133
868,Metro Dr at Gate 7 Security Booth,132
1060,Rhode Island Ave at 37th St,132
647,Hamilton St at 3900,132
46,3404 Dodge Park Rd,132
327,Brandywine Road @ Surrats Road,131
105,60th Ave at Seminole St,131
1038,Queens Chapel Rd at Nicholson St,130
538,District Heights Pkwy at Marbury Ct (W),130
194,Allentown Rd at Kingston Dr,130
1162,Sheriff Rd at Dutch Village Dr,129
742,Kipling Pkwy at Opp. 7805 Ritchie Rd,128
206,Allentown Way at Allentown Rd (Aldi's),128
792,Largo Rd at West Kettering Dr,128
1054,Ray Rd at Balfour Dr,127
1172,Sheriff Rd at William Paca School,127
1070,Rhode Island Ave at Gallatin St,127
846,Marlboro Pike at Tucker's Restaurant,127
192,Allentown Rd at Dodge Ln,127
1193,Southern Ave at Forest Hills Apts,126
860,McCormick Dr at Opp. UMUC Building,126
210,Annapolis Rd at 53rd St,126
1096,Ritchie Rd at Truck Way,126
574,Fieldstone Way,125
555,East Capitol Street at Maryland Park Drive,125
5,1100 Owens Rd,124
40,3119 75th Ave (Overland Gardens),124
968,Owens Rd at Wheeler Rd,123
357,Brightseat Rd at Social Services Bldg.,123
176,Ager Rd at 23rd Ave,123
1088,Ritchie Rd at Napier Dr,122
492,Columbia Park Rd at Beaver Rd,122
1292,University Blvd at 23rd Ave,122
1206,Southern Rd at Wheeler Rd,121
761,Landover Rd at 58th Ave,121
457,Cherrywood Ln at Greenbelt Federal Courthouse,121
729,John Rogers Blvd at Old Marlboro Pike,121
370,Brinkley Rd at John Hanson Ln,120
1021,Peppermill Dr at Pepper St,120
906,Old Branch Ave at 6811 Old Branch Ave,120
1315,Walker Mill Drive at Shady Glen Drive,120
112,8100 Sheriff Rd,120
202,Allentown Rd at Waldran Dr,120
989,Oxon Hill Rd at Oxon Hill Plaza(6201),119
249,Auth Rd at Magruder Ave,119
489,College Park Station - Arrival,119
615,Greenbelt Metro Station Bus Bay A,118
1194,Southern Ave at Gunther St,118
520,Crescent Rd at Lastner Ln,118
367,Brinkley Rd at Henson Creek Apts,118
56,38th St at Parkwood St,117
1217,Springhill Ln at Market Ln,117
779,Largo Rd at Eton Dr,117
260,Baltimore Ave at Erie St,116
1141,SOUTHERN AVENUE & FOREST HILLS APARTMENTS,115
589,Gallatin St at 43rd Ave,115
991,Oxon Hill Rd at Riverside Plaza Apts,115
224,Ardwick-Ardmore Rd at UPS Building #8325,114
477,Chillum Rd at Buchanan St,114
1223,St Barnabas Rd at Kernal Ln,114
212,Annapolis Rd at 54th St,113
189,Allentown Rd at Brinkley Rd (Family Services),113
1268,Temple Hill Rd at Henderson Rd,113
803,Lottsford Rd at Harry S. Truman Dr,113
653,Hanover Pkwy at Green Manor Ct,112
37,28th Pkwy at Fairlawn St,112
579,Fisher Rd at Heather Hill,111
1035,Queen Chapel Rd at Queensbury Rd,111
937,Old Pike Way at 5620 Old Pike Way,111
635,Greenway Center (AM Southbound),111
1228,St Barnabas Rd at Wheeler Rd,111
344,Brightseat Rd at Evarts St,110
1130,Rollins Ave at District Ave,110
225,Ardwick-Ardmore Rd at UPS Customer Center,110
697,INDIAN HEAD HIGHWAY & AUDREY LANE,110
1139,SOUTHERN AVENUE & CHESAPEAKE STREET SE,110
876,Nalley Rd at Crane Pl,109
564,Elm St at Governor Oden Bowie Dr,109
1113,Riverdale Rd at 63rd Ave,109
123,9206 Springhill Lane,109
822,MLK Jr Hwy at Roosevelt Ave,109
1267,Temple Hill Rd at Hagan Rd,109
583,Fisher Rd at Temple Blvd,108
762,Landover Rd at 58th Pl,107
302,Bladensburg Rd at 42nd Ave,107
455,Chatsfield Way at Reading Ter,107
686,Hill Rd at Willow Hill Dr,107
