,stop,boardings,alightings
4,10800 Indian Head Highway at Fort Washington Manor,126,171
518,Crescent Rd at 58 Court,124,25
1319,Walker Mill Rd at Tanow Pl,124,78
701,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,124,162
608,Good Luck Rd at Silk Tree Dr,124,22
980,Oxon Hill Rd at Harborview Rd,124,100
822,MLK Jr Hwy at Roosevelt Ave,124,109
35,28th Pkwy at Curtis Dr,123,59
168,Addison Rd at James Farmer Way,123,151
1072,Rhode Island Ave at Volta Ave,122,138
816,MLK Jr Hwy at Carrington Dr,122,34
802,Lottsford Rd at Harry S. Truman,122,165
1064,Rhode Island Ave at 42nd Pl,122,133
1034,Quebec St at 58th Ave,122,96
260,Baltimore Ave at Erie St,121,116
187,Allentown Rd at Allentown Way,121,485
1077,Ridgefield Blvd at Sgt. Harman Ln,121,88
231,Arundel Rd at 29th St,121,57
763,Landover Rd at 75th Ave,121,69
887,New Carrollton Station - Arrival,120,14712
1187,Southern Ave at B St SE,119,84
41,3133 Pennsy Dr,119,105
1185,Southern Ave at 6th St SE,119,177
558,East-West Hwy at Prince George's Mall Ent.,119,900
672,Harry S. Truman Dr at Lottsford,119,59
186,Allentown Rd at 5711 AFCU Allentown Rd,119,139
480,Chillum Rd at Shoppers Food,118,283
865,Merchantile Ln at Technology Way,118,40
1131,Rollins Ave at Hanlon Street,118,100
219,Apollo Dr at Mercantile Ln,118,149
225,Ardwick-Ardmore Rd at UPS Customer Center,118,110
1162,Sheriff Rd at Dutch Village Dr,118,129
1157,Sheriff Rd at Belle Haven Dr,117,467
360,Brinkley Rd at Brinkley House W Ent,117,536
776,Largo Rd at Buck Ln,117,149
1290,Truman Manor,117,26
104,60th Ave at Quebec St,116,47
761,Landover Rd at 58th Ave,116,121
208,Annapolis Rd at 48th St,116,166
1296,Upshur St at 28th St,116,219
566,Equestrian Center Lot 1 (Arrival),115,1246
201,Allentown Rd at Waldran Ave,114,67
1234,Stuart Ln at Topaz Court,114,1
1308,Village Green Dr at Belle Haven Dr,114,85
1207,Southway at 10 Court,114,62
