,stop,boardings,alightings
893,Nalley Rd at Green Willow Ct,407,351
908,OLD BRANCH AVENUE & ALLENTOWN WAY,406,91
99,5600 54th Ave,406,579
842,Mandan Rd at Canning Terr,405,372
1255,Stuart Ln at Woodyard Rd,405,2389
1219,Southern Ave at UNITED MEDICAL CENTER,404,145
580,Fairlawn St at Colebrooke Dr,404,881
523,Coventry Way at Old Alexandria Ferry Rd,403,643
762,Lamont Dr at Quentin St,402,305
195,Allentown Rd at Karen Anne Dr,399,383
701,Hillside Rd at Laurel Hill Rd,396,446
672,Hanover Pkwy at Ora Glen Dr,396,845
300,Benning Rd at Drum Ave,395,709
476,Cheverly Ave at Montrose Rd,393,525
205,Allentown Rd at Westchester Ct,393,342
1110,Ritchie Rd at Ritchie Dr,391,542
197,Allentown Rd at Old Branch Ave,388,816
688,Highview Pl at Brooke Rd,388,245
59,38th St at Shepherd St,388,585
282,Baltimore Ave at Tecumseh St,387,765
405,CAMPUS WAY NORTH AT LADY GROVE ROAD,386,478
385,Brinkley Rd at Roberts Dr,386,156
1151,Rollins Ave at Rollins Ln,386,350
268,Baltimore Ave at Hollywood Rd,385,369
1287,Temple Hill Rd at Henderson Rd,384,485
555,Donnell Drive at Marlboro Pike,384,2352
280,Baltimore Ave at Rossborough Ln,382,529
676,Hanover Pkwy at Village Park Dr,381,379
579,Fairlawn St at 28th Pkwy,381,87
257,Baltimore Ave at Berwyn Rd,381,206
656,Hamilton St at 38th St,381,379
1124,Riverdale Rd and 7600 Riverdale Road,380,341
536,Denise Dr at Banister Way,378,226
1107,Ritchie Rd at Napier Dr,378,311
1301,Temple Hill Rd at Spring Ter,376,333
389,Brinkley Rd at Shopton Pl,376,508
894,Nalley Rd at Kaplan Ct,374,242
445,Central Ave at Daimler Dr,373,296
328,Brandywine Rd at Woodyard Rd,373,96
1334,Walker Mill Drive at Shady Glen Drive,373,264
461,Chatsfield Way at Reading Ter,373,248
655,Hamilton St at 38th Ave,372,472
271,Baltimore Ave at Knox Rd,372,546
1225,Southern Rd at Wheeler Rd,371,253
275,Baltimore Ave at Oglethorpe St,368,545
74,414 Brightseat Rd,368,558
105,60th Ave at Greenbelt Rd,368,463
265,Baltimore Ave at Hamilton St,367,197
